"","Strong","SensitiveLethality","SensitiveRecovery"
"HDAC1;MAPK13",-0.0391820519484626,-0.0391820519484626,NA
"HDAC1;MAPK3",-0.040968867579399,-0.040968867579399,NA
"HDAC1;MAPK8",-0.0723002391593864,-0.0723002391593864,NA
"HDAC1;MTOR",0.0264032223468436,NA,-0.0264032223468436
"HDAC1;MYC",-0.0400656095862758,-0.0400656095862757,NA
"HDAC1;NRAS",-0.0708047928260913,-0.0708047928260913,NA
"HDAC1;NXF2",-0.0880888871209636,-0.0880888871209636,NA
"HDAC1;NXF2B",-0.0563044048541687,-0.0563044048541687,NA
"HDAC1;PARP1",-0.0561437926771022,-0.0561437926771021,NA
"HDAC1;PIK3CA",-0.0573802882547335,-0.0573802882547335,NA
"HDAC1;PLD1",-0.0998245878605603,-0.0998245878605604,NA
"HDAC1;PLK1",-0.0697915971391104,NA,0.0636399982806291
"HDAC1;POLD1",-0.0842860992464291,-0.0842860992464291,NA
"HDAC1;PSMB2",0.0257386954198919,NA,-0.0257386954198919
"HDAC1;PSMB5",0.00270348592055825,NA,-0.00270348592055825
"HDAC1;RHEB",-0.112864556330003,-0.112864556330003,NA
"HDAC1;TGFBR2",-0.101540081270227,-0.101540081270227,NA
"HDAC1;TOP2A",-0.0861593715960275,-0.0861593715960275,NA
"HDAC1;TRIB2",-0.0988081451792868,-0.0988081451792868,NA
"HDAC1;TRIM25",-0.054816501013719,-0.054816501013719,NA
"HDAC1;ULK1",-0.0902538697225059,-0.0902538697225059,NA
"HDAC1;UPF2",-0.105437376946309,-0.105437376946309,NA
"HDAC1;UPF3A",-0.127236362748068,-0.127236362748068,NA
"HDAC1;WNT5A",-0.095428137237988,-0.095428137237988,NA
"HPRT1;HSP90AA1",0.00685946142290431,0.00685946142290431,NA
"HPRT1;HSP90B1",-0.0805900764582589,-0.0805900764582589,NA
"HPRT1;IGF1R",0.0884011857572285,0.0884011857572285,NA
"HPRT1;IGFBP5",-0.0575987654228913,-0.0575987654228913,NA
"HPRT1;INSR",-0.0900730725015266,-0.0900730725015266,NA
"HPRT1;IRS1",-0.167710897537457,-0.167710897537457,NA
"HPRT1;JUN",-0.135646056652815,-0.135646056652815,NA
"HPRT1;LIMK1",-0.0599298633755638,-0.0599298633755638,NA
"HPRT1;MAP2K1",0.0304468884918514,0.0304468884918514,NA
"HPRT1;MAP3K1",-0.00969452342178495,-0.00969452342178495,NA
"HPRT1;MAPK1",-0.0755951545670283,-0.0755951545670283,NA
"HPRT1;MAPK13",-0.065392333897475,-0.065392333897475,NA
"HPRT1;MAPK3",0.0515587904976597,0.0515587904976597,NA
